frame,t_s,x_px,y_px,x_m,y_m
0,0.0,104.65807730496785,446.46443679501337,0.24755769503548466,0.2538254514641902
1,0.05,121.08544666288087,418.9003419657001,0.3648960475920062,0.45071184310214237
2,0.1,138.42081762341785,395.5075556114892,0.4887201258815561,0.6178031742036486
3,0.15,154.31714322216904,374.795842571147,0.6022653087297788,0.7657439816346644
4,0.2,171.1808569048452,357.1837012608769,0.72272040646318,0.891544991108022
5,0.25,187.70463898745205,343.18419087814677,0.8407474213389432,0.9915414937275231
6,0.3,203.9579447244609,332.85682411879516,0.9568424623175779,1.0653083991514632
7,0.35,220.6210956093941,325.9481141070225,1.0758649686385293,1.1146563278070178
8,0.4,236.11699758931247,321.4482410053749,1.1865499827808033,1.1460839928187508
9,0.45,253.55751011654423,322.2396894865529,1.3111250722603159,1.140430789381765
10,0.5,269.91491268884235,325.5350247460868,1.4288208049203026,1.1161783946708084
11,0.55,286.3019691568161,332.6703790409532,1.5450140654058292,1.0666401497074772
12,0.6,302.6156641394309,343.1251372403115,1.6615404581387922,0.9919633054263464
13,0.65,318.44498932085806,356.4795347394548,1.7746070665775577,0.8965754661467514
14,0.7,335.45918362676356,373.9761684422197,1.896136248762597,0.771598796841288
15,0.75,351.75563222958053,394.7369477627564,2.0125402302112895,0.6233075159803112
16,0.8,368.19388379005804,418.8250819358623,2.129956312786129,0.45124941474384084
17,0.85,384.803097613307,446.4948333611426,2.2485935543807643,0.2536083331346957
18,0.9,400.9316856236716,477.372022090009,2.363797754454797,0.03305701364279296
